PG,PG,SG,SG,SF,SF,PF,PF,C,PROJ VAL,REAL VAL
33219-9446,33219-23097,33219-15559,33219-84704,33219-40199,33219-16363,33219-80808,33219-66236,33219-15814,286.348999023438,0
33219-12355,33219-9446,33219-23798,33219-84704,33219-40199,33219-16363,33219-80808,33219-66236,33219-15814,286.310974121094,0
33219-12355,33219-84671,33219-84704,33219-16359,33219-40199,33219-16363,33219-42156,33219-80808,33219-15814,286.237976074219,0
33219-9446,33219-23097,33219-58312,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,286.213012695312,0
33219-14498,33219-23097,33219-23798,33219-84704,33219-40199,33219-16363,33219-42156,33219-80808,33219-15814,286.182006835938,0
33219-12355,33219-84671,33219-49116,33219-84704,33219-40199,33219-9654,33219-42156,33219-80808,33219-15814,286.166015625,0
33219-14507,33219-23097,33219-15559,33219-84704,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,285.955017089844,0
33219-9446,33219-23097,33219-15559,33219-16359,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,285.586029052734,0
33219-14498,33219-23097,33219-84704,33219-16359,33219-40199,33219-9654,33219-42156,33219-80808,33219-15814,285.571014404297,0
33219-23097,33219-84671,33219-15559,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,285.47900390625,0
33219-12355,33219-84671,33219-23798,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,285.441009521484,0
33219-9446,33219-84671,33219-15559,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,285.390014648438,0
33219-23097,33219-84671,33219-84704,33219-16359,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,285.166015625,0
33219-14507,33219-23097,33219-49116,33219-84704,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,285.107025146484,0
33219-23097,33219-84671,33219-23798,33219-84704,33219-16363,33219-23572,33219-42156,33219-66236,33219-58462,285.098999023438,0
33219-9446,33219-84671,33219-84704,33219-16359,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,285.077026367188,0
33219-9446,33219-23097,33219-49116,33219-15559,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,285.051025390625,0
33219-9446,33219-23097,33219-49116,33219-16359,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,284.738006591797,0
33219-23097,33219-84671,33219-49116,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,284.631011962891,0
33219-9446,33219-23097,33219-23798,33219-15559,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,284.601013183594,0
33219-14498,33219-23097,33219-23798,33219-84704,33219-40199,33219-9654,33219-42156,33219-80808,33219-15814,284.586029052734,0
33219-9446,33219-84671,33219-49116,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,284.542022705078,0
33219-23097,33219-84671,33219-15559,33219-16359,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,284.528015136719,0
33219-9446,33219-14498,33219-23798,33219-84704,33219-40199,33219-9654,33219-42156,33219-80808,33219-15814,284.497009277344,0
33219-12355,33219-23097,33219-15559,33219-84704,33219-42550,33219-9654,33219-80808,33219-66236,33219-58462,284.35302734375,0
33219-23097,33219-84671,33219-23798,33219-84704,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,284.180999755859,0
33219-12355,33219-14498,33219-15559,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,283.488006591797,0
33219-12355,33219-14498,33219-49116,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,282.640014648438,0
33219-14498,33219-23097,33219-15559,33219-84704,33219-23572,33219-9654,33219-42156,33219-80808,33219-58462,281.550018310547,0
33219-12355,33219-14498,33219-84704,33219-16359,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,281.116027832031,0
33219-14498,33219-23097,33219-84704,33219-16359,33219-16363,33219-23572,33219-42156,33219-80808,33219-58462,280.773986816406,0
33219-14498,33219-23097,33219-49116,33219-84704,33219-23572,33219-9654,33219-42156,33219-80808,33219-58462,280.702026367188,0
33219-14498,33219-9455,33219-15559,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,280.444000244141,0
33219-14498,33219-23097,33219-15559,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,280.169006347656,0
33219-12355,33219-14498,33219-23798,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,280.131011962891,0
33219-9446,33219-14498,33219-15559,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,280.080017089844,0
33219-14498,33219-23097,33219-23798,33219-84704,33219-16363,33219-23572,33219-42156,33219-80808,33219-58462,279.789001464844,0
33219-14498,33219-9455,33219-49116,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,279.596008300781,0
33219-14498,33219-23097,33219-49116,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,279.321014404297,0
33219-9446,33219-14498,33219-49116,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,279.232025146484,0
33219-14498,33219-23097,33219-84704,33219-16359,33219-23572,33219-9654,33219-42156,33219-80808,33219-58462,279.178009033203,0
33219-9446,33219-14498,33219-84704,33219-16359,33219-23572,33219-9654,33219-42156,33219-80808,33219-58462,279.089019775391,0
33219-14498,33219-23097,33219-23798,33219-84704,33219-23572,33219-9654,33219-42156,33219-80808,33219-58462,278.193023681641,0
33219-9446,33219-14498,33219-23798,33219-84704,33219-23572,33219-9654,33219-42156,33219-80808,33219-58462,278.10400390625,0
33219-14498,33219-9455,33219-84704,33219-16359,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,278.072021484375,0
33219-14498,33219-23097,33219-84704,33219-16359,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,277.797027587891,0
33219-9446,33219-14498,33219-84704,33219-16359,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,277.7080078125,0
33219-14498,33219-9455,33219-23798,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,277.087005615234,0
33219-14498,33219-23097,33219-23798,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,276.81201171875,0
33219-9446,33219-14498,33219-23798,33219-84704,33219-16363,33219-9654,33219-42156,33219-80808,33219-58462,276.723022460938,0
